name,time,level description,location,water_level
h2o_feet,1566048960000000000,below 3 feet,santa_monica,1.45
h2o_feet,1566048960000000000,between 3 and 6 feet,coyote_creek,5.062
h2o_feet,1566049320000000000,below 3 feet,santa_monica,1.503
h2o_feet,1566049320000000000,between 3 and 6 feet,coyote_creek,4.921
h2o_feet,1566049680000000000,below 3 feet,santa_monica,1.526
h2o_feet,1566049680000000000,between 3 and 6 feet,coyote_creek,4.78
h2o_feet,1566050040000000000,below 3 feet,santa_monica,1.562
h2o_feet,1566050040000000000,between 3 and 6 feet,coyote_creek,4.636
h2o_feet,1566050400000000000,below 3 feet,santa_monica,1.542
h2o_feet,1566050400000000000,between 3 and 6 feet,coyote_creek,4.488
h2o_feet,1566050760000000000,below 3 feet,santa_monica,1.627
h2o_feet,1566050760000000000,between 3 and 6 feet,coyote_creek,4.344
h2o_feet,1566051120000000000,below 3 feet,santa_monica,1.683
h2o_feet,1566051120000000000,between 3 and 6 feet,coyote_creek,4.209
h2o_feet,1566051480000000000,below 3 feet,santa_monica,1.781
h2o_feet,1566051480000000000,between 3 and 6 feet,coyote_creek,4.068
h2o_feet,1566051840000000000,below 3 feet,santa_monica,1.759
h2o_feet,1566051840000000000,between 3 and 6 feet,coyote_creek,3.927
h2o_feet,1566052200000000000,below 3 feet,santa_monica,1.821
h2o_feet,1566052200000000000,between 3 and 6 feet,coyote_creek,3.776
h2o_feet,1566052560000000000,below 3 feet,santa_monica,1.929
h2o_feet,1566052560000000000,between 3 and 6 feet,coyote_creek,3.635
h2o_feet,1566052920000000000,below 3 feet,santa_monica,1.965
h2o_feet,1566052920000000000,between 3 and 6 feet,coyote_creek,3.494
h2o_feet,1566053280000000000,below 3 feet,santa_monica,2.034
h2o_feet,1566053280000000000,between 3 and 6 feet,coyote_creek,3.36
h2o_feet,1566053640000000000,below 3 feet,santa_monica,2.172
h2o_feet,1566053640000000000,between 3 and 6 feet,coyote_creek,3.228
h2o_feet,1566054000000000000,below 3 feet,santa_monica,2.234
h2o_feet,1566054000000000000,between 3 and 6 feet,coyote_creek,3.087
h2o_feet,1566054360000000000,below 3 feet,coyote_creek,2.963
h2o_feet,1566054360000000000,below 3 feet,santa_monica,2.297
h2o_feet,1566054720000000000,below 3 feet,coyote_creek,2.835
h2o_feet,1566054720000000000,below 3 feet,santa_monica,2.372
h2o_feet,1566055080000000000,below 3 feet,coyote_creek,2.707
h2o_feet,1566055080000000000,below 3 feet,santa_monica,2.418
h2o_feet,1566055440000000000,below 3 feet,coyote_creek,2.585
h2o_feet,1566055440000000000,below 3 feet,santa_monica,2.5
